value,size
-0.0008406639099121094,8
-0.000847160816192627,5
0.000314176082611084,6
-0.0010737180709838867,7
0.0007984638214111328,7
-6.616115570068359e-06,7
-3.5762786865234375e-07,2
-7.87973403930664e-05,6
0.003051459789276123,4
-4.172325134277344e-07,4
-0.000619351863861084,5
0.005929529666900635,4
0.008797645568847656,5
0.00017827749252319336,6
-2.7894973754882812e-05,6
-6.139278411865234e-06,7
0.0005978941917419434,4
0.0004892349243164062,6
-0.008157849311828613,11
1.1920928955078125e-07,4
4.172325134277344e-07,3
0.0009398460388183594,9
0.00446009635925293,10
-0.0012680292129516602,6
-0.0005120038986206055,8
6.854534149169922e-06,3
-0.001435995101928711,8
-0.00018286705017089844,4
-5.6862831115722656e-05,7
4.410743713378906e-06,6
-0.00045490264892578125,3
2.8192996978759766e-05,6
0.00017958879470825195,7
0.0002243518829345703,4
-4.76837158203125e-07,4
-0.005162477493286133,8
-0.0023750662803649902,7
4.3332576751708984e-05,7
0.035067200660705566,4
5.960464477539063e-08,3
-0.001533806324005127,6
-0.0002338886260986328,4
-0.0003210306167602539,6
-0.0012712478637695312,5
0.0005263686180114746,6
-0.00043588876724243164,7
4.172325134277344e-07,5
-1.7881393432617188e-06,3
0.0018273591995239258,7
5.0187110900878906e-05,5
0.0016325712203979492,6
0.0024593472480773926,9
8.279085159301758e-05,4
0.00023889541625976562,6
0.0011475086212158203,9
-0.0004451870918273926,6
-0.0025162100791931152,4
-3.504753112792969e-05,8
0.0036472082138061523,7
-0.0034394264221191406,8
-0.0016604065895080566,8
2.0384788513183594e-05,6
0.01939260959625244,2
-0.00017184019088745117,8
-4.285573959350586e-05,7
-5.364418029785156e-07,6
4.76837158203125e-07,4
0.0015488862991333008,5
0.0036782026290893555,8
-6.663799285888672e-05,7
3.463029861450195e-05,4
-7.998943328857422e-05,6
0.00435250997543335,10
1.1920928955078125e-07,4
0.0005471110343933105,6
-7.152557373046875e-07,5
0.002084791660308838,8
-0.0063620805740356445,7
0.00034224987030029297,6
-0.0008841156959533691,7
-0.0009987354278564453,6
-4.172325134277344e-07,5
0.00010478496551513672,7
-3.707408905029297e-05,4
0.011777758598327637,10
0.0020581483840942383,8
