value,size
-4.1812658309936523e-05,7
0.00024837255477905273,6
-3.635883331298828e-06,6
-0.000370025634765625,6
3.4570693969726562e-06,5
4.76837158203125e-06,2
0.00036197900772094727,6
0.0003724098205566406,4
-3.045797348022461e-05,5
4.723668098449707e-05,8
-2.014636993408203e-05,4
-0.00017330050468444824,8
-0.0027839839458465576,6
-2.956390380859375e-05,2
7.331371307373047e-06,6
0.011651873588562012,2
-0.0010788440704345703,8
7.331371307373047e-06,5
-1.3113021850585938e-05,3
1.3709068298339844e-06,4
-0.004587352275848389,3
-0.0020755529403686523,7
0.00034159421920776367,5
-1.2516975402832031e-06,6
-8.344650268554688e-06,4
-5.677342414855957e-05,7
-1.8835067749023438e-05,4
2.6524066925048828e-05,5
0.0001685023307800293,5
-4.673004150390625e-05,5
0.0002747774124145508,4
-0.00013554096221923828,3
-0.000542759895324707,4
5.9604644775390625e-06,7
9.655952453613281e-06,4
2.086162567138672e-06,6
-6.139278411865234e-06,4
-2.980232238769531e-07,4
3.3974647521972656e-06,5
-0.00036853551864624023,4
2.086162567138672e-06,6
0.00045496225357055664,5
-0.00034821033477783203,6
-0.00605165958404541,2
-0.0020430386066436768,7
6.079673767089844e-06,5
1.430511474609375e-06,7
5.364418029785156e-07,4
-6.80088996887207e-05,6
0.0020566582679748535,5
-3.7550926208496094e-06,5
1.0728836059570312e-06,6
-1.1622905731201172e-05,4
-2.384185791015625e-07,5
-0.0020418763160705566,7
-4.374980926513672e-05,6
-0.001205146312713623,4
-0.0014143586158752441,6
-0.00016123056411743164,7
-1.5676021575927734e-05,6
1.0907649993896484e-05,3
-3.5762786865234375e-07,5
4.76837158203125e-07,6
-0.00036156177520751953,5
-1.1861324310302734e-05,4
-1.2516975402832031e-06,4
-4.0531158447265625e-06,6
7.748603820800781e-06,5
3.993511199951172e-06,5
5.1856040954589844e-05,3
-1.2576580047607422e-05,4
-0.0003693699836730957,6
1.8477439880371094e-06,6
1.627206802368164e-05,6
5.662441253662109e-06,5
-5.185604095458984e-06,5
4.76837158203125e-07,6
5.185604095458984e-06,5
-1.6808509826660156e-05,6
0.00026977062225341797,6
6.824731826782227e-05,4
-0.0003095269203186035,2
-1.430511474609375e-06,6
1.5139579772949219e-05,6
-1.3709068298339844e-06,6
-0.0003095269203186035,2
-0.00018095970153808594,5
1.3709068298339844e-06,4
-0.00011706352233886719,2
-0.004587411880493164,3
-0.001205146312713623,4
-4.088878631591797e-05,4
1.1563301086425781e-05,6
0.005905866622924805,2
-1.5437602996826172e-05,6
-3.427267074584961e-05,4
0.0006691217422485352,4
-1.9550323486328125e-05,6
-6.556510925292969e-06,4
-8.58306884765625e-06,5
-0.001275479793548584,6
2.086162567138672e-06,5
-2.473592758178711e-05,4
0.00047957897186279297,7
-2.3365020751953125e-05,6
5.1915645599365234e-05,3
5.245208740234375e-06,5
0.0003718137741088867,4
1.4424324035644531e-05,5
3.516674041748047e-05,6
-1.823902130126953e-05,4
-5.066394805908203e-06,4
0.000451505184173584,5
1.7881393432617188e-07,7
-5.27501106262207e-05,5
4.172325134277344e-07,5
-2.562999725341797e-06,3
8.463859558105469e-06,5
-2.384185791015625e-06,6
-2.205371856689453e-06,3
-0.0003752708435058594,6
8.431077003479004e-05,6
-7.748603820800781e-07,5
-0.00012379884719848633,5
1.6689300537109375e-06,5
-1.2814998626708984e-05,4
1.0848045349121094e-05,5
-0.00015985965728759766,7
-2.205371856689453e-06,6
-0.00033462047576904297,6
-2.980232238769531e-07,5
-4.172325134277344e-07,5
-0.00011420249938964844,7
-0.0027526021003723145,3
-1.9729137420654297e-05,5
6.327033042907715e-05,6
9.5367431640625e-07,3
-0.00033360719680786133,6
1.806020736694336e-05,3
-3.075599670410156e-05,5
0.000695347785949707,3
0.0001856684684753418,6
3.874301910400391e-06,7
0.00012373924255371094,3
-2.384185791015625e-06,3
-2.4378299713134766e-05,7
0.0004621744155883789,5
-1.621246337890625e-05,3
-0.00031447410583496094,2
6.818771362304688e-05,4
0.00538751482963562,4
-2.0265579223632812e-06,6
-0.0003095865249633789,2
-1.4007091522216797e-05,7
6.771087646484375e-05,4
-1.2755393981933594e-05,4
