,runtime_graphshapiq,budget,n_players,mse_KernelSHAPIQ,runtime_KernelSHAPIQ,mse_SVARMIQ,runtime_SVARMIQ,mse_InconsistentKernelSHAPIQ,runtime_InconsistentKernelSHAPIQ,mse_SHAPIQ,runtime_SHAPIQ,mse_PermutationSamplingSII,runtime_PermutationSamplingSII
33,1.489314317703247,4367.0,20.0,0.06710765244442043,13.315650701522827,1.8628677906537625,24.553512811660767,0.009837569127111836,10.680954933166504,1.2623877472620608,1.1432158946990967,0.28274977464508594,0.6375124454498291
40,3.0196990966796875,8239.0,24.0,0.029716839257791762,34.42056655883789,0.7335649325334866,78.03498816490173,0.0020275060216922635,29.150930404663086,0.3483717112851458,2.3145744800567627,0.14542496097034907,1.191946268081665
41,1.7353274822235107,5711.0,29.0,0.05081867265915233,51.4730749130249,0.8518864617541038,73.94946837425232,0.006922029746854811,42.37092328071594,1.1421431220861726,1.8757727146148682,0.14561912756001935,0.9635646343231201
45,1.514268159866333,4495.0,27.0,0.040121119175900895,32.15077304840088,3.868732596931787,47.75673794746399,0.0043518144213933975,24.30616021156311,1.7952008757580606,1.281700849533081,0.19721315440358916,0.7466378211975098
49,2.783817768096924,7822.0,30.0,0.019132207569221432,66.70647811889648,6.182228275811367,118.54974174499512,0.004502178177223411,53.542330503463745,1.469013840735031,2.7664060592651367,0.05249095595751364,1.2332489490509033
50,0.8169758319854736,2255.0,20.0,0.09943903788868205,7.130086898803711,9.510567788391963,11.500664234161377,0.019135155135700507,4.90439248085022,15.279133502181638,0.5482814311981201,0.26215898529954923,0.277101993560791
52,3.035755157470703,8239.0,24.0,0.026255952343356648,33.30209493637085,0.7212009492733721,76.35949492454529,0.0027817431189353465,28.714914321899414,0.37637379540111265,2.2838010787963867,0.0866410860479824,1.185286045074463
53,2.970555067062378,7919.0,27.0,0.012601214253843597,42.11470293998718,0.995159759942041,91.23734927177429,0.0011006988172754437,35.57842421531677,0.5652257594694431,2.4076921939849854,0.061278482802373385,1.267472743988037
56,2.0883426666259766,6349.0,34.0,0.14249552498995077,110.23267769813538,0.4182014922618513,121.58737254142761,0.013859481509945305,88.27609300613403,0.41202923574110006,2.5209944248199463,0.14331204460472002,1.219228982925415
58,1.9497427940368652,5198.0,37.0,0.021057065964820706,125.30578947067261,10.708552222746102,98.16760754585266,0.0018748581732692467,59.07693910598755,15.298650673097754,1.9168808460235596,0.06070552095030073,1.0744271278381348
59,0.9728219509124756,3008.0,26.0,0.01801556407039246,19.68042492866516,1.9198849281786914,25.607457399368286,0.003123530627408579,12.228774547576904,2.9727486837935166,0.8396923542022705,0.03520854249412384,0.5559957027435303
63,2.879953622817993,8269.0,35.0,0.0585028904683542,164.9685275554657,4.198988085926703,191.70959782600403,0.011468688912501829,143.4550449848175,3.0289928749419532,3.700073719024658,0.09209318892071305,1.6900577545166016
64,1.558121681213379,4622.0,31.0,0.049101032678602094,57.21060848236084,7.872979110800163,67.36734080314636,0.0074275686776097355,40.04373645782471,6.301890202877216,1.520876407623291,0.0963215119060822,0.8746201992034912
65,2.271333932876587,6191.0,22.0,0.04611790718414782,21.943602800369263,1.7805532805217643,43.684608459472656,0.008715745437383262,17.90753984451294,1.4045376717208187,1.7293415069580078,0.18013928738742266,0.8020579814910889
67,2.345221519470215,6831.0,26.0,0.020527615203739205,33.75882959365845,3.9746476545020233,71.05448293685913,0.0024164977014609896,27.930440187454224,4.399288381568237,2.1321516036987305,0.11197695572211151,0.9621748924255371
68,2.402195930480957,6959.0,26.0,0.019883543319190154,34.65399789810181,8.086359425321849,73.50310325622559,0.0015874117196582333,28.739057064056396,4.603404035800811,2.0884134769439697,0.09190905679023041,1.0523779392242432
69,1.2247321605682373,3727.0,23.0,0.052848952208367814,14.542406797409058,1.0438468324322205,26.314162731170654,0.01008772361558994,10.708858013153076,1.258169757775484,0.9568305015563965,0.16739406266606316,0.5875718593597412
70,2.5524940490722656,7518.0,29.0,0.04409131021272012,54.143391132354736,1.2489368243829169,107.44120717048645,0.004817828514892356,45.885414361953735,1.9664961927737912,2.5391156673431396,0.19324298345101462,1.2616233825683594
71,2.5643327236175537,7693.0,30.0,0.04772140079254588,65.44079065322876,19.67506687643565,127.88519310951233,0.008182354603847456,55.41370701789856,5.60622691617073,2.785766124725342,0.12500053799684183,1.384645938873291
72,1.468470811843872,4766.0,22.0,0.06285592704931514,17.675714015960693,6.669129686548346,34.60676145553589,0.011789677882061854,13.814563274383545,2.8113471046636356,1.3274567127227783,0.30529863161057813,0.6917033195495605
73,3.1313486099243164,9564.0,35.0,0.10180056234165688,196.512140750885,11.247320740849272,244.92069792747498,0.008784387901565664,180.96293234825134,3.5064678463657435,4.517005920410156,0.11828428503410042,1.967275857925415
82,2.8506157398223877,7725.0,28.0,0.10033547426799617,55.13961362838745,23.00456028531816,115.83585715293884,0.009634871655257017,43.74946355819702,8.40884356941643,2.5811209678649902,0.15864022182738435,1.25138521194458
89,2.7447245121002197,8100.0,39.0,0.051312983226309124,250.34474682807922,2.2292791817543107,231.16334557533264,0.011605180636847161,212.48637795448303,1.4457963152464952,5.099430084228516,0.07027632608402529,2.2814407348632812
92,4.6659135818481445,8064.0,23.0,0.004565631650002693,31.286742210388184,0.6701376776326367,66.07934165000916,0.0007254753653592519,25.52322030067444,0.4357642902014998,2.182783365249634,0.029803957158972213,1.0562918186187744
95,2.187202215194702,6833.0,32.0,0.09050638100631561,93.58509945869446,3.5415608558624565,121.70899033546448,0.006696580013033764,81.34544491767883,1.2367897230448972,2.4766733646392822,0.12606970145074253,1.2488422393798828
98,1.6345868110656738,4765.0,26.0,0.07049195839011148,27.89623236656189,10.494122439192436,51.26926302909851,0.006880842001721106,20.38340973854065,3.8435159620274413,1.4290108680725098,0.19917983134143855,0.7450461387634277
99,1.9706165790557861,6157.0,26.0,0.1159152069830262,33.2949333190918,11.071158781237177,70.45859336853027,0.015193045209526565,26.980058193206787,3.7073539716572297,1.8995029926300049,0.24280183315191806,0.962287425994873
107,2.1461074352264404,6238.0,26.0,0.0823992748636564,32.02137541770935,4.038789109563219,65.84116387367249,0.013963044617858416,25.805425882339478,4.582882753514338,1.8679847717285156,0.3038859762107979,0.9026787281036377
108,1.489600658416748,4210.0,23.0,0.04622413179081454,15.570026874542236,0.5345574732346194,28.507718801498413,0.003966180014268376,11.649183511734009,0.9058652707369749,1.0425825119018555,0.19375119346214464,0.6119992733001709
111,1.0312144756317139,3200.0,27.0,0.016861001276231694,22.427096605300903,0.7983960496267607,29.624982595443726,0.0029934896872372482,14.626601696014404,0.7951257788308681,0.9715864658355713,0.03322703103404121,0.4305598735809326
112,2.464939832687378,6962.0,28.0,0.015737617491381264,43.11184883117676,10.55163397484448,81.77653002738953,0.001766874885643834,35.07620573043823,7.974381672971388,2.1768133640289307,0.09261554790543053,1.0524311065673828
114,2.5585126876831055,6432.0,28.0,0.010996699928138115,39.13882064819336,1.6778942668404977,67.28841638565063,0.0009085208958556021,31.179266929626465,2.7348354604106135,2.0127100944519043,0.05671926484585045,0.9765167236328125
116,0.8724372386932373,2496.0,23.0,0.011877182845960586,10.638671636581421,2.2254898964550387,15.783740282058716,0.004398946293716081,6.7822606563568115,2.279976587757337,0.6058127880096436,0.0607767524874791,0.32072997093200684
118,2.0028936862945557,6197.0,35.0,0.03589782226106524,119.16069769859314,14.209790127238858,127.43083834648132,0.004439845000348112,95.79128956794739,10.160099552223034,2.5413177013397217,0.08980063025521842,1.2870898246765137
119,2.3253469467163086,6415.0,25.0,0.049922608586138985,30.69912362098694,2.7651215825679767,63.41196799278259,0.00797499292651967,23.897754430770874,2.997580398990113,1.83608078956604,0.2219694735760884,0.9614832401275635
120,0.966191291809082,3311.0,20.0,0.16150606221025113,9.463391780853271,0.33188633020294867,16.954530239105225,0.04348089616175049,7.313817739486694,0.9714869923035166,0.7620530128479004,0.2803177708285545,0.384016752243042
123,1.1675195693969727,3503.0,24.0,0.08183855883324388,15.290300130844116,2.5705082129679666,26.48000979423523,0.007940863660743319,12.070803880691528,1.317534308947677,0.9993274211883545,0.22516699062585635,0.4820244312286377
125,3.017566442489624,8845.0,32.0,0.0492189379433453,92.90666556358337,1.697497136289358,162.55018424987793,0.009987910716479182,82.56040048599243,1.2506113899507054,3.396967887878418,0.13463284212655632,1.6225075721740723
134,0.9771101474761963,2624.0,23.0,0.04990419377864694,11.462419986724854,2.6518422909931183,16.67926859855652,0.01664542402082475,7.32079553604126,2.6799125420465053,0.6475329399108887,0.2872503454096713,0.3348829746246338
135,2.385587453842163,7236.0,27.0,0.07884260978940053,44.18943738937378,5.295687790834275,99.64520478248596,0.011090399131008,36.473326683044434,1.6608490488026273,2.255943536758423,0.1738593544293776,1.1792776584625244
137,1.4951484203338623,4623.0,22.0,0.07844901055513043,16.62284541130066,6.7685362846116375,31.69004201889038,0.01646940197028394,13.133300304412842,4.764617137505433,1.2324631214141846,0.40448641463888657,0.6981420516967773
146,2.4090349674224854,6927.0,29.0,0.017465483924370903,50.132108211517334,0.7432759997140841,91.82257223129272,0.0019406045771133123,40.80160903930664,1.1380494168855173,2.3995048999786377,0.061344390989453296,1.0479624271392822
