,runtime_graphshapiq,budget,n_players,mse_KernelSHAPIQ,runtime_KernelSHAPIQ,mse_SVARMIQ,runtime_SVARMIQ,mse_InconsistentKernelSHAPIQ,runtime_InconsistentKernelSHAPIQ,mse_SHAPIQ,runtime_SHAPIQ,mse_PermutationSamplingSII,runtime_PermutationSamplingSII,mse_L_Shapley,runtime_L_Shapley
53,3.0222954750061035,7919.0,27.0,0.017862888535011945,2.3039207458496094,0.007251639524619548,2.432039976119995,0.021698371241528493,2.3189127445220947,0.03795892623702254,1.6060764789581299,0.02372050330289632,1.280087947845459,1.8540620456156465,0.3957195281982422
56,2.0710601806640625,6349.0,34.0,0.032711259327878744,2.1177468299865723,0.05143753832261535,2.6327662467956543,0.03832574839005622,2.1234676837921143,0.028777649384796555,1.4529447555541992,0.06272250586468216,1.0828914642333984,2.734363571467815,0.5343663692474365
58,1.7093076705932617,5198.0,37.0,0.058887209757902736,1.8169958591461182,0.026910971601920453,2.381906270980835,0.08824574095906935,1.8919939994812012,1.5426596988262027,1.4286589622497559,0.05562631640078201,0.932959794998169,2.0665808519222257,0.32796573638916016
59,1.0033800601959229,3008.0,26.0,0.08885052942051365,0.8330926895141602,0.027601038738514043,1.0791301727294922,0.05644668541323388,0.841564416885376,0.230768890252214,0.7126142978668213,0.027995264445478705,0.4323110580444336,1.9869684717011307,0.2245171070098877
63,2.644284725189209,8269.0,35.0,0.13853037104076849,2.7382097244262695,0.02914773835604522,3.773264169692993,0.12186222677724408,2.9700372219085693,0.2635556325012401,1.8721332550048828,0.07091587112417962,1.2874412536621094,4.059214271127329,0.7599258422851562
64,1.611872673034668,4622.0,31.0,0.017265680913417018,1.4917256832122803,0.030183818510393336,2.001338243484497,0.01827308782124548,1.6013643741607666,0.512950837348484,1.0415167808532715,0.06759319368776633,0.812542200088501,3.4117793100117284,0.47895050048828125
65,2.243685245513916,6191.0,22.0,0.11793575922870758,1.6972732543945312,0.05762336216015514,1.660597324371338,0.20956590575860626,1.7547261714935303,0.05400454600969456,1.3057255744934082,0.07547704614682683,1.0285451412200928,10.668130397432178,0.24008393287658691
67,2.536090135574341,6831.0,26.0,0.036277991348755104,2.0618104934692383,0.00448941794991687,2.249068260192871,0.047592977470842526,2.0902769565582275,0.23502003503093666,1.5211620330810547,0.030248397013372348,1.188506841659546,0.8893717626482006,0.3028595447540283
68,2.5965638160705566,6959.0,26.0,0.020875625661383974,1.9233672618865967,0.010594955762737038,2.409515857696533,0.0287992473454389,2.1818699836730957,0.10926799340311304,1.5057153701782227,0.007511626181331093,1.0465941429138184,1.3381317645377067,0.29504966735839844
69,1.2218356132507324,3727.0,23.0,0.1021608304090756,0.9420497417449951,0.020784162351310243,1.1079676151275635,0.062476462764665563,1.0007789134979248,0.09596136524323694,0.8628313541412354,0.07395656493930487,0.5544943809509277,3.387369213534404,0.1944434642791748
